## task-1 计划承诺面判定矩阵（基线：docs/plan/API.md）

判定口径：
1) **Plan-required**：`docs/plan/API.md` 明确作为公开 API/CLI 承诺，且属于当前实现/导出面应对齐范围。  
2) **Plan-not-required**：计划文档里出现，但不是“对外承诺面”的强制项（如内部实现细节、示例代码路径、非公开方法）。  
3) **Optional-spec**：计划文档中已显式标注“可选/兼容别名/兼容模式例外”等非强制项。

| 分类 | Plan 条目 | 实际符号映射（path + symbol） | 依据 |
|---|---|---|---|
| Plan-required | `File::open/create/sections/io/validator/inner` | `src/file.rs::impl File::{open,create,sections,io,validator,inner}`; root 导出 `src/lib.rs::pub use file::File` | 计划 API 树 + 详细 API 1 节 |
| Plan-required | `OpenOptions::{write,strict,log_replay,finish}` | `src/file.rs::impl OpenOptions::{write,strict,log_replay,finish}`; root 导出 `src/lib.rs::pub use file::OpenOptions` | 计划 API 树 + 详细 API 2 节 |
| Plan-required | `CreateOptions::{size,fixed,block_size,logical_sector_size,physical_sector_size,parent_path,finish}` | `src/file.rs::impl CreateOptions::{size,fixed,block_size,logical_sector_size,physical_sector_size,parent_path,finish}`; root 导出 `src/lib.rs::pub use file::CreateOptions` | 计划 API 树 + 详细 API 3 节 |
| Plan-required | `LogReplayPolicy::{Require,Auto,InMemoryOnReadOnly,ReadOnlyNoReplay}` | `src/file.rs::enum LogReplayPolicy` + root 导出 `src/lib.rs` | 计划 API 树与详细枚举一致 |
| Plan-required | `ParentChainInfo{child,parent,linkage_matched}` | `src/file.rs::struct ParentChainInfo` + root 导出 `src/lib.rs` | 计划 API 树 |
| Optional-spec | `ReadOnlyNoReplay` 为“兼容模式例外” | `docs/API.md` 对该变体标注兼容例外；`src/file.rs::LogReplayPolicy::ReadOnlyNoReplay` | 计划与现文档均标记非严格路径 |
| Plan-required | `validation::SpecValidator` 及 `validate_file/header/region_table/bat/metadata/validate_required_metadata_items/log/parent_locator/parent_chain` | `src/validation.rs::impl SpecValidator` 全部存在；`File::validator()` 在 `src/file.rs` | 计划 validation 模块定义 |
| Optional-spec | `ValidationIssue`（计划中“可选：结构化校验问题”） | `src/validation.rs::struct ValidationIssue`；root 导出 `src/lib.rs` | 计划文本显式“可选” |
| Plan-required | `section::Sections::{header,bat,metadata,log}` | `src/sections.rs::impl Sections::{header,bat,metadata,log}`；`src/lib.rs::mod section` re-export `Sections` | 计划 section 容器 |
| Plan-required | `section::Header::{file_type,header,region_table}` | `src/sections/header.rs::impl Header::{file_type,header,region_table}`; re-export 于 `src/sections.rs`,`src/lib.rs` | 计划 Header API |
